Year,5th,25th,50th,75th,95th,Mean
19.916666666666668,662457.9392792132,936837.8761884065,1186234.0931947888,1481798.8960508993,2086527.3209086433,1258949.3282683906
20.0,660510.5305437591,931091.5951344048,1183788.8024743418,1503289.4450994497,2135184.4934948157,1268618.5648698888
20.083333333333332,663176.3157074202,937720.6287513669,1192624.219031938,1516700.5257144452,2157434.955331687,1280505.4308401747
20.166666666666668,677104.2645936157,943715.1509660603,1203068.047366501,1526282.1698462386,2218190.1338215815,1290919.9260612999
20.25,671020.3978295061,952222.8845805768,1208401.0625394206,1553663.5594996125,2269252.9333172035,1302029.3138633387
20.333333333333332,678150.1995791919,960840.5472741965,1215285.4360433398,1570886.2822569858,2291297.985118116,1313655.5820751488
20.416666666666668,687005.1665480195,975704.5018394117,1227826.166516011,1570670.0656435776,2325716.0178648657,1323430.7826207788
20.5,690194.3584647229,973856.0963664108,1224086.1421442241,1575148.528731107,2357699.5447779284,1329091.5005451164
20.583333333333332,692461.4440176007,975652.8268404598,1233212.2407073858,1565067.9378914717,2353901.640222668,1340137.652829118
20.666666666666668,679344.1597738062,994045.2427248647,1248245.1505614026,1609366.989457902,2375952.367087127,1351747.393787798
20.75,685488.5130171002,1006558.3314037486,1259181.3585246466,1601085.0553895903,2376276.3820997267,1362433.7713102687
20.833333333333332,690150.0727333664,1007111.3292519017,1260017.9424751939,1616245.5225782348,2381751.0579510266,1374590.9568313947
